,animal,day,session,cell,gridness,coherence,spatial info,field number,field radius,field spacing,exposure number
0,AM8,2021-4-6,1m floor s2,TT1_SS_06.txt,-0.170974557,0.37160879,0.253803125,2,18.37224842,61.8685495,1
1,AM8,2021-4-6,1m floor s2,TT2_SS_04.txt,-0.203156989,0.167493234,0.172914312,2,8.821502574,33.02395982,1
2,AM8,2021-4-6,1m floor s2,TT2_SS_06.txt,-0.116363685,0.362858788,0.341222244,3,12.44947085,58.76640277,1
3,AM8,2021-4-9,1m floor s2,TT2_SS_01.txt,0.033473746,0.610271608,1.147381757,2,12.03900808,69.0850831,2
4,PL73,2019-10-28,1m floor s2,TT1_SS_02.txt,0.138751237,0.368107611,0.287193431,2,18.21271792,55.66464745,2
5,PL73,2019-10-28,1m floor s2,TT1_SS_04.txt,-0.325500324,0.379405275,0.406099866,1,17.19627428,,2
6,PL73,2019-10-28,1m floor s2,TT2_SS_01.txt,-0.075407839,0.347575058,0.860998074,2,13.0098472,85.62242621,2
7,PL76,2019-12-10,1m floor s2,TT1_SS_05.txt,0.30794302,0.275392003,0.637197648,3,11.91719373,65.67540553,4
8,PL76,2019-12-10,1m floor s2,TT1_SS_06.txt,1.273633685,0.3650735,0.609382209,3,13.20772696,62.49626742,4
9,PL76,2019-12-10,1m floor s2,TT2_SS_01.txt,1.693020211,0.525389998,0.834904912,3,13.3542127,66.38422426,4
10,PL76,2019-12-10,1m floor s2,TT2_SS_02.txt,1.204422662,0.581574215,1.02596368,3,12.42339863,65.084312,4
11,PL76,2019-12-10,1m floor s2,TT3_SS_07.txt,1.142227441,0.415648267,0.869539491,2,14.52872283,58.20484545,4
12,PL76,2019-12-10,1m floor s2,TT3_SS_09.txt,1.445352241,0.609692927,0.982134506,2,10.71367765,62.30352962,4
13,PL76,2019-12-10,1m floor s2,TT3_SS_11.txt,0.981128762,0.42269629,0.509282233,3,13.49910894,65.09486104,4
14,PL76,2019-12-10,1m floor s2,TT3_SS_14.txt,1.09978452,0.460034406,0.662727769,2,10.66818412,64.15281227,4
15,PL76,2019-12-11,1m floor s2,TT1_SS_03.txt,1.325933882,0.68468925,0.981619572,3,11.18743685,63.5808334,5
16,PL76,2019-12-11,1m floor s2,TT1_SS_04.txt,0.970010137,0.625963173,1.007308973,2,13.73720682,65.57599364,5
17,PL76,2019-12-11,1m floor s2,TT1_SS_07.txt,-0.130997261,0.491999039,0.770210333,3,13.4026855,60.12295542,5
18,PL76,2019-12-11,1m floor s2,TT2_SS_05.txt,1.088943079,0.625069106,0.756616926,3,13.99443643,64.25888436,5
19,PL76,2019-12-11,1m floor s2,TT3_SS_10.txt,0.185609068,0.292994481,0.512205036,3,11.94437095,57.81545049,5
20,PL76,2019-12-11,1m floor s2,TT3_SS_12.txt,0.95648669,0.59786362,1.338442825,2,10.39104106,68.71698888,5
21,PL76,2019-12-11,1m floor s2,TT3_SS_14.txt,0.245443619,0.474267787,0.465532986,2,13.66621302,60.52022985,5
22,PL76,2019-12-13,1m floor s2,TT1_SS_01.txt,0.472029323,0.53515636,0.636059228,1,17.25274824,,6
